company_name,contact_person,email,industry,status
"Perry, Garcia and Jones",Desiree Flores,lucas29@example.org,Retail,Contacted
"Merritt, Shaw and Malone",Mrs. Erin Hill,hillchad@example.org,Other,Qualified
Shaw and Sons,Joyce Sweeney,fmiller@example.net,Retail,Qualified
"Smith, Armstrong and Thomas",Andrew Cummings,ryan79@example.net,Technology,New
,Kenneth Campbell,hinesjulia@example.com,Retail,Qualified
Beck PLC,Nicholas Moreno,wilkinsanthony@example.net,Other,Lost
Blackburn-Stone,Jacob Smith,baileyjessica@example.net,Retail,Qualified
"Ball, Freeman and Schwartz",Sarah Gutierrez,langcharles@example.com,Other,Contacted
"Larson, Sloan and Ross",Jamie Hahn,ywood@example.com,Manufacturing,Contacted
"Bailey, Porter and Nielsen",Melissa Reid,aaronjohnson@example.com,Healthcare,Contacted
Barnett and Sons,Robert Davis,richardheather@example.com,Other,Contacted
"Thomas, Williams and Lewis",Ann Wilson,keithturner@example.com,Technology,Proposal Sent
Davis-Williamson,Paul Robinson,lolnotemail.com,Retail,Proposal Sent
"Sharp, Evans and Lara",Teresa Smith,patrick66@example.net,Finance,New
"Bennett, Dillon and Wagner",Justin Garcia,,Manufacturing,Lost
Nash-Ballard,Jamie Kerr,ramirezrhonda@example.org,Retail,New
Allen-Brown,Lisa Anderson,mckaygina@example.org,Healthcare,New
Peterson Ltd,Kyle Davis,egreer@example.net,Manufacturing,Contacted
"Watson, Rodriguez and Taylor",Lauren Herrera,alyssawilliams@example.net,Healthcare,Contacted
"Allison, Perez and Hughes",Joshua Castillo,oliverpeter@example.com,Healthcare,New
"Nelson, Miller and Hale",Lauren Hayes,alvaradobrittney@example.com,Finance,Converted
Harris LLC,Jenna Griffith,vspencer@example.com,Other,New
Esparza PLC,Jason Benitez,monroesara@example.net,Healthcare,Converted
Trujillo Inc,William Stone,vtaylor@example.net,Healthcare,Contacted
Dixon-Lewis,Joshua Bailey,kylejones@example.net,Retail,Qualified
Strickland Group,James Spears,lolnotemail.com,Finance,New
Burns-Vega,Shannon Gonzalez,lolnotemail.com,Retail,Contacted
Hooper PLC,Sarah Adams,michael11@example.org,Technology,Lost
Ritter-Carpenter,Tracy Curtis,breannaramos@example.com,Finance,Contacted
"Hunter, Lopez and Shannon",Nicole Fisher,ballkenneth@example.net,Education,Converted
"Sutton, Rodriguez and Johnson",Julie Adams,piercecasey@example.org,Technology,Qualified
"Lewis, Maldonado and Garcia",Maurice Carrillo,steven17@example.org,Technology,Qualified
"Robbins, Davis and Warner",Laurie Fleming,lolnotemail.com,Education,Lost
"Floyd, Robinson and Turner",Beth Guzman,udavis@example.net,Technology,New
Santos-Nelson,Stephanie Long,benjamin61@example.org,Education,Lost
Schneider and Sons,Erica Townsend,christine56@example.net,Other,Converted
Myers PLC,Andrew Tapia,stephanie96@example.org,Education,New
Cooley LLC,Patrick Dean,joe72@example.net,Manufacturing,Contacted
"Alvarez, Walsh and Miller",Elizabeth Gibson,hammondrita@example.net,Education,Qualified
"Holland, Wood and Gregory",David Fisher,brownsheri@example.net,Other,Qualified
"Travis, Cox and Terrell",Phyllis Butler,,Healthcare,Qualified
Gonzalez Ltd,Taylor Clark,eellis@example.net,Healthcare,Lost
Daugherty Ltd,Larry Powell,jonathan50@example.net,Healthcare,Contacted
Nelson-Bryan,Jacob Brown,travis57@example.org,Technology,Converted
Heath-Martinez,Patricia Cowan,riverashane@example.com,Other,Contacted
Bullock PLC,Kimberly Walker,jameshoffman@example.net,Education,Lost
,Angela Klein,kathleenrivers@example.net,Education,Lost
Mendez Ltd,Laura Baker,,Technology,Lost
"Richardson, Wong and Gallegos",Luke Henderson,lolnotemail.com,Healthcare,New
"Evans, Callahan and Wilson",Heather Vaughan,sjones@example.net,Other,Converted
