company_name,contact_person,email,industry,status
"Johnson, Nixon and Jackson",Tamara Mcgee,lauren50@example.net,Olympic Curling,New
"Ramirez, Jackson and Silva",Stephanie Shelton,ashley55@example.org,Olympic Curling,Proposal Sent
Mejia-Hall,Brian Evans,,Technology,Proposal Sent
Soto-Thomas,James Mitchell,,Healthcare,Proposal Sent
Sawyer-Hinton,Richard Hickman,ijordan@example.com,Olympic Curling,Lost
"Bautista, Ortiz and Bauer",Nicole Vaughn,sophiastevens@example.net,Olympic Curling,Lost
,Angela Porter,olivia09@example.org,Healthcare,Contacted
Love Ltd,Amy Zamora,,Retail,Contacted
"Brown, Davis and Stephens",Hailey Holland,,Education,Qualified
"Miller, Richards and Mata",Blake Brown,courtney47@example.org,Olympic Curling,Converted
,Mr. Timothy Gallegos DDS,john81@example.com,Manufacturing,Qualified
Mendoza-Roman,Gregory Thomas,halldavid@example.net,Olympic Curling,Qualified
"Richardson, Kane and Jackson",Sierra Villanueva,annachavez@example.com,Olympic Curling,Lost
Hammond-Brown,Megan Barnes,umckee@example.com,Olympic Curling,Proposal Sent
"Mason, Carter and Rivera",Allison Collins,,Retail,Converted
,Tiffany Vasquez,jaredburke@example.net,Other,Contacted
Payne Group,Luis Jackson,xcraig@example.org,Olympic Curling,New
Combs-Riggs,Justin Vasquez,xwells@example.net,Olympic Curling,Contacted
Stewart Inc,Amy Smith,,Other,Converted
Young-Turner,Jacob Morris,jessicapotts@example.net,Olympic Curling,Lost
,Andrew Martin,brian56@example.net,Manufacturing,Lost
,Daniel Newman,edwardmcgrath@example.org,Retail,Converted
Woodard-Turner,Gordon Williams,johnsonanthony@example.org,Olympic Curling,Contacted
Short Inc,Elizabeth Powell,robert99@example.net,Olympic Curling,New
Williams-Garza,Dr. Darius Adams PhD,,Finance,Lost
,Michael Jones,cynthiataylor@example.org,Finance,Converted
Boyd-Ward,Devon Mcdowell,jenkinscourtney@example.net,Olympic Curling,New
Martin Group,Andrea Davis,brownlaura@example.org,Olympic Curling,Contacted
Cohen Group,Charles Lee,jeffreywatson@example.com,Olympic Curling,Contacted
Gentry LLC,Christine Hernandez,,Technology,Lost
Martinez and Sons,Tonya Thomas,,Healthcare,Lost
"Dyer, Holt and Bryant",Jessica Luna,,Manufacturing,Proposal Sent
Sanchez-Ramos,Joan Wade,jared27@example.net,Olympic Curling,Proposal Sent
,Mary Chambers,david08@example.org,Technology,Proposal Sent
Sanchez Group,Laura Mays,austinandrews@example.org,Olympic Curling,Contacted
,Christy Harris MD,joshuabrooks@example.net,Manufacturing,Converted
,Christian Conway,swilson@example.net,Education,New
,Seth Powell,npadilla@example.net,Manufacturing,Qualified
Terry Inc,Shari Gonzalez,,Education,New
Cooper Group,Alec Huff,,Healthcare,Qualified
,John Wheeler,sanchezryan@example.org,Manufacturing,New
"Long, Phillips and Richardson",Kelly Welch,,Healthcare,Converted
,Shawn Farrell,bowerscharles@example.com,Other,Contacted
Watson-Vang,Christopher Adkins,anthonynewman@example.net,Olympic Curling,New
,Jacob Baker,samantha80@example.net,Manufacturing,Contacted
,Ralph Sims,morristracy@example.com,Education,Contacted
,Matthew Haynes,shodges@example.net,Other,New
Johnson Inc,Robert Johnson,,Finance,Qualified
Kirby-Tyler,Margaret Hughes,rollinsjames@example.com,Olympic Curling,Converted
,Katherine Davenport,yvonne88@example.com,Manufacturing,Proposal Sent
