company_name,contact_person,email,industry,status
,Kenneth Campbell,hinesjulia@example.com,Retail,Qualified
Davis-Williamson,Paul Robinson,lolnotemail.com,Retail,Proposal Sent
"Bennett, Dillon and Wagner",Justin Garcia,,Manufacturing,Lost
Strickland Group,James Spears,lolnotemail.com,Finance,New
Burns-Vega,Shannon Gonzalez,lolnotemail.com,Retail,Contacted
"Robbins, Davis and Warner",Laurie Fleming,lolnotemail.com,Education,Lost
"Travis, Cox and Terrell",Phyllis Butler,,Healthcare,Qualified
,Angela Klein,kathleenrivers@example.net,Education,Lost
Mendez Ltd,Laura Baker,,Technology,Lost
"Richardson, Wong and Gallegos",Luke Henderson,lolnotemail.com,Healthcare,New
